gene,C1,C1_logFC,C1_FDR,C2,C2_logFC,C2_FDR,C3,C3_logFC,C3_FDR,module
SERPINB7,NS,0.834366158623615,0.0883970505107278,NS,0.151089966962543,0.923891444311676,DOWN,-2.99685272586443,0.0007454110013679,DOWN IN LIMBUS
SERPINB8,DOWN,-1.28614958789703,3.91212445997767e-06,NS,-0.441296683798305,0.229727997257715,NS,-0.697512272155365,0.008226327264447,DOWN IN LIMBUS
SERPINB9,UP,2.08131802838028,0.0001542696143835,NS,0.486541315012857,0.617674522300665,NS,-0.218355533530557,0.727634739182291,C1 SPECIFIC
SERPINE1,UP,1.43153697943744,0.0184583682485834,NS,0.306993708934275,0.857260863150171,NS,-1.36098819181028,0.092427436606255,C1 SPECIFIC
SERPINE2,UP,2.41845800211313,0.0044638138409671,NS,0.285663995827354,0.905244835005213,NS,-0.936597741910903,0.375442413604323,C1 SPECIFIC
SERPINF1,UP,1.63333064419285,0.0001087392038499,NS,0.824202875522614,0.222561176391518,UP,2.41883354593507,0.000189563416214,SHARED C1 & C3
SERPING1,UP,3.2860366182282,1.64507274823554e-08,NS,0.965884002083765,0.0727978947292949,UP,1.4642658371701,0.0008722323856275,SHARED C1 & C3
SERPINH1,UP,1.06621327157213,0.0095046035682506,NS,0.276986169932341,0.785634408365269,NS,0.222317031032171,0.696710786196424,C1 SPECIFIC
SESTD1,UP,2.66939276627085,4.342111271946e-07,NS,-0.0981836455280671,0.911383256764347,NS,-0.624584144552881,0.104987707359093,C1 SPECIFIC
SFN,DOWN,-1.25657804913344,0.0022610942883342,NS,-0.0142912192854254,0.991969979811422,DOWN,-1.16937916350915,0.0277922107592853,DOWN IN LIMBUS
SFRP2,UP,1.32882458733066,0.0284406453581439,NS,-0.53740559447481,0.714443688386792,NS,0.877959140204235,0.272945742955675,C1 SPECIFIC
SGCB,UP,1.16587285851559,0.0192383349918432,NS,0.399108737650517,0.741707408181284,NS,-0.159410643456753,0.835296034876082,C1 SPECIFIC
SGCD,UP,2.15676142803313,6.20632318677827e-05,NS,0.386576660670904,0.678848166225928,UP,1.93381447325216,0.002606709069658,SHARED C1 & C3
SGCE,UP,3.27543613067139,1.34371707039222e-06,NS,0.0882614543264859,0.94592461272976,UP,1.90303719087222,0.0028461879507644,SHARED C1 & C3
SGK1,NS,-0.88482870205597,0.0337574587013172,NS,-0.0993345078847216,0.941423520829239,UP,1.46401439170438,0.0172520412464548,C3 SPECIFIC
SGPL1,NS,-0.898538573324482,0.0019081905687037,NS,-0.353456552888037,0.543689842096098,DOWN,-1.03263322875765,0.0081804602500367,DOWN IN LIMBUS
SH3BGR,DOWN,-1.07934554754239,0.0002661358014952,NS,0.28241596910901,0.597108733956892,NS,-0.378224799565028,0.224514006553336,DOWN IN LIMBUS
SH3BGRL2,DOWN,-1.22092196763631,0.0027574255355736,NS,0.167738166250061,0.875869064584778,NS,0.0490913903511654,0.935669598831846,DOWN IN LIMBUS
SH3BP5,UP,2.64867743650643,4.28632206710102e-06,NS,0.0808076993013778,0.94592461272976,UP,1.76048663220208,0.0026710656913829,SHARED C1 & C3
SH3D21,DOWN,-1.70571026562967,1.30231530898093e-05,NS,0.186886764820734,0.783170316226331,NS,0.221839242680288,0.541944492588167,DOWN IN LIMBUS
SH3GL3,DOWN,-2.548988860556,2.53360882837864e-05,NS,-0.454491236250055,0.64498616315155,NS,-0.25593146400745,0.673047943241294,DOWN IN LIMBUS
SH3KBP1,UP,2.56874427956594,1.91926302561384e-06,NS,-0.345094323303753,0.648109019214796,DOWN,-1.33021061324416,0.0072260424627696,C1 SPECIFIC
SH3PXD2B,UP,1.68992487757521,1.82800617047826e-06,NS,0.45006263545381,0.316964123079783,NS,0.183919583927663,0.5266819117966,C1 SPECIFIC
SH3RF3,UP,1.04819691718721,0.0019508767860285,NS,0.736034787741267,0.247375226641115,UP,1.46379067648346,0.0026516305632745,SHARED C1 & C3
SH3TC1,DOWN,-1.75557780818264,8.81662137414002e-06,NS,0.839255598222911,0.124097136629699,NS,-0.195329250089165,0.589523947014209,DOWN IN LIMBUS
SH3TC2,NS,-0.266752166078109,0.252921063505952,NS,-0.167693259971136,0.791415737036723,DOWN,-1.0417030859064,0.0056441216162247,DOWN IN LIMBUS
SHC1,UP,1.41566155130785,3.24522346236138e-07,NS,-0.0228255902088002,0.963056175033764,NS,0.0247865224807899,0.918754252795679,C1 SPECIFIC
SHC3,UP,2.02573665419817,5.57963558867671e-05,UP,2.19669703276937,0.0055504026354281,UP,1.61061174592061,0.0049310432508132,CORE — all 3 contrasts
SHE,UP,2.31331785941474,0.0003487234209459,NS,0.0271978606641827,0.989182450600843,UP,1.66455521050018,0.0276442604890641,SHARED C1 & C3
SHISA2,UP,1.4515320337815,0.0008371155316325,NS,0.0469035578874708,0.970746869281469,NS,0.0977856720988175,0.867923811761276,C1 SPECIFIC
SHISA9,DOWN,-2.55788165097147,1.31023916856223e-06,NS,0.899817136856625,0.167313410196858,NS,-0.159678975600215,0.725480038357258,DOWN IN LIMBUS
SHMT1,DOWN,-1.52504149140537,2.18684737106921e-05,NS,-0.698781223123643,0.179275907920499,NS,-0.426055945458862,0.195690221056105,DOWN IN LIMBUS
SHOX,UP,1.02016344394693,0.0185164324615379,UP,1.84246280825747,0.0376019593302066,UP,1.22356440608614,0.0415043412670688,CORE — all 3 contrasts
SHPK,DOWN,-1.32208360712407,0.000128339179797,NS,-0.014715945929356,0.988668012753271,NS,-0.03551937975916,0.935214782207847,DOWN IN LIMBUS
SIAH3,DOWN,-1.97369133300485,0.0004159323790834,NS,1.71079023895932,0.0768287579158985,NS,0.439058430564914,0.481792407690103,DOWN IN LIMBUS
SIDT2,UP,1.21379746555718,2.29888732749153e-05,NS,-0.057604745495599,0.926305937787706,NS,0.815287505933629,0.0074250552143342,C1 SPECIFIC
SIGLEC15,DOWN,-1.93112962133592,0.0007082373710925,NS,-0.548364433717642,0.620485013860833,NS,-1.22753902486286,0.0633475327527092,DOWN IN LIMBUS
SIK1,DOWN,-1.56332742964558,0.0079067794418618,NS,-0.373186889159275,0.801505294372922,NS,0.0282544303462089,0.976511485562852,DOWN IN LIMBUS
SIPA1L2,UP,1.3887471785751,0.0040952355664465,NS,0.266958357704512,0.826041486390387,UP,1.32983618647306,0.0359075707776097,SHARED C1 & C3
